NOM_MUN,POB_TOT
JUÁREZ,1512450
CHIHUAHUA,937674
CUAUHTÉMOC,180638
DELICIAS,150506
HIDALGO DEL PARRAL,116662
NUEVO CASAS GRANDES,65753
GUADALUPE Y CALVO,50514
GUACHOCHI,50180
CAMARGO,49499
MEOQUI,44853
JIMÉNEZ,40859
GUERRERO,35473
SAUCILLO,29862
ASCENSIÓN,26093
ALDAMA,26047
BUENAVENTURA,25146
MADERA,25144
OJINAGA,24534
AQUILES SERDÁN,24344
BOCOYNA,23351
NAMIQUIPA,22712
URIQUE,17043
ROSALES,16776
BALLEZA,16440
AHUMADA,14635
CASAS GRANDES,11815
SANTA BARBARA,11582
BATOPILAS DE MANUEL GÓMEZ MORÍN,11270
JANOS,11005
ALLENDE,8487
GUAZAPARES,8196
OCAMPO,8127
CARICHÍ,8113
RIVA PALACIO,7695
MORELOS,7266
GÓMEZ FARÍAS,7023
GALEANA,6656
URUACHI,6512
CHINIPAS,6222
BACHÍNIVA,5807
TEMÓSACHIC,5320
IGNACIO ZARAGOZA,5196
PRAXEDIS G. GUERRERO,5111
CUSIHUIRIACHI,5099
SAN FRANCISCO DEL ORO,5004
JULIMES,4980
VALLE DE ZARAGOZA,4775
MORIS,4447
MATAMOROS,4314
GUADALUPE,4237
LÓPEZ,4122
SANTA ISABEL,3791
LA CRUZ,3704
SATEVO,3414
NONOAVA,2757
MATACHI,2742
SAN FRANCISCO DE CONCHOS,2696
DR. BELISARIO DOMINGUEZ,2456
GRAN MORELOS,2448
SAN FRANCISCO DE BORJA,2197
ROSARIO,2079
CORONADO,2034
EL TULE,1448
MAGUARICHI,1302
COYAME DEL SOTOL,1230
MANUEL BENAVIDES,1178
HUEJOTITAN,824
